その延長線上として	はーそうですね
自然という意味では本当にあのー	うーん
それでまーそこの奥さんはあの非常に人が良くてはいはい右向けってばはいはい左向けはいはいって形で	ほう
軍艦やえー	そうなんですねー
大学じゃなくて小さい子供たちをですねえー教育で育てるということが一番いいんじゃないかなということで	そうですか
続けております	はあ素敵だと思います
いたしまして今イギリスの方に	あーイギリスにずーっと
そして渋谷から早大正門前という行きのバスがありますのでそのバスは1時間に2本きり出ていないのでえーと今日は	少ないですね
やはりあの目がちょっと	はー
ま今は皆さんもご存じのサムソナイトですけども	うんサムソナイトええ
毎日楽しく	やーお孫さんが
その升席っつうのが何も	へへっへっ
夏帰って来まして8月	あっ
そういうことではすごくあのー世の中にも	うーん
でこれがですね今でもその自分の体力が落ちない	うーん
まーどういうこういう比較はいいのかわかりませんがベトナムとかそれこそカンボジアの子供たちの	そうですね
あのー意向は学女性でも	あーお父様の
ま中学	そう逆に
時折会った時に	そうですか
先生になりたいなー生徒さんをいっぱい集めて一人一人色んな	ねえ
それから近くにあの三角薔薇といって今あのー赤坂離宮の	ええええええ
八十八か所	わっ
あーもう	面白い子ですね
軽井沢そのものでしたかちょっと覚えてないですが順次降りて連絡板を見てそこに何か書いてあるだろうというふうに思ったことがもうどんぴしゃだったのでもう	すごい
順番に並んで捕虜になっちゃうっていう風なで最後にあのー残った人が勝ちだっと	えー
それはどうしてかっていうとあのーパーマとかはもーね学生学校時代はかけちゃいけないんですけども	あっはい
今孫に一番生き甲斐を感じております	あーそーですかーいーですねーお孫さんいらして
素晴らしい考え	そういうこと
あの鉄道関係の	あー
そして魚を獲ると	へえ
わたくしの息子も	あーはい
非常に小規模というかそういう大学だった	あー
とてもとてもそんな考えもしなかったこと突然に	あーでもねー
えーとスポーツが大好きでですね小さい頃からラクビーですね	はー
文章にも書きましたけれども	あはい
今年中には	凄いですねはい
都庁前	はい都庁前
突然贈り物が届くって	あー
友達には	素晴らしいですね
行ける自信がちょとないんですけども行けるチャンスがあったらまたもう一度行ってみたいなって	そうですね
十人ぐらいで乗れるようなやつを持ってました	あー凄いですね
あの大きく影響してたと	あー
えー竹とんぼ竹を切り出して	うーん
ことをよく	ああ
あっもう出たら若松町方面にあのー出口出るんだなっと思ってそいで左に行ってそれからあのー	そうです
好きなんですけども	へーすごいですね新聞読むこと
先生がまー歩くあの走れないもんですからあのー歩くのが一番いいんじゃないかって	あっそーなんですねー
まー45分前に	はい四十五分前はい
えー隠居のような形になってますけどもまだまだ体はじゅうあの元気ですし	そーですほんとに
まー趣味と言っても	はいご趣味は
それこそあのバケツに一杯になるほど	うわー
って小さい頃なんになりたいってあまり思わな	あそうなんですか
などとまそんなものを	そうなんですね
その演奏している時はねもう本当にそのことに集中して	あそうできるんですねーうーん
もー膝はあのー太ももは	あー
今は今でしたら大丈夫と思うんですけれどもあんなち血が白衣に飛んでするようなそういう勉強をしなきゃいけないのかと思うと	そうですよね
それと私女子医大に長くあの入院しておりまして出たり入ったりしておりましたのでこの辺をちょっとあの存じておりましたので早稲田の方も	あー
鳥を捕まえるという	えー
うー面白いって	あーそうですね
えーよりよい	そうですよね
跡を継いでその商売をやっております	そーなんですねー
今の	ありますね
今までの大名の中ではなかった素晴らしい	うーん
えー何人かいまして	あっそうなんですねー
入っていまして	すごーい
スキーですねスキーは	スキーも
スチュワーデスっていうのは	あー
泊まらないでちゃんとねママの所であのー	えっ
この春しょうがあ中学1年生に	へー
数が少なくなるという	はあ
本当にもうローマの休日の	そうですよね
そのかたがあのーもう嬉しくて嬉しくて椎葉さんじゃない私のおかげでそう	うっふふ
四国の八十八か所のえーお遍路を	うわぁーお遍路
してもらいたいってことは	はいしてもらいたいことはどうでしょう
大掃除とそれから	ふふふ
東京都母子寡婦福祉団体協議会に	はいほう
未だに	遠いですから
イギリスの方に	えー
言って	はいあーありますよねよくそういうのしょうがないですよねー
高田の馬場でえー出口がちょっとわかんなくなった	はいあっ
加工して2年とか2年半とか1年半とかもつお花に	ありますね
中学生の時は卓球をやったりそれから	あー卓球
そいであの手術を	いい時が
あのー満州から引き揚げてきたんでね4人の子供を	そうなんですか
そいで京都に	そうですね
帰りには孫たちと一緒にですね食事をしたということで	一番楽しい時ですね
えー電車でやって来ました	あっはい
もらえるかなって	あはは
あまりにも	そうですか
江戸大江戸線乗るっていう事は	あはい
来ましたで前にも来たことがあるんですが大体渋谷から40分かかるっていうことであのーそのバスで今日は来ました	はい40分はい
あの子供が大学に行ってましてその大学は家から2人とも2人子供がいるんですけども2人離れてて	あ
もうそれがもう趣味みたいな	へぇ
僕の幸せだろうから	そうですね
お正月は自宅でやっぱり両親やお兄ちゃんと過ごしたいということなので	そうですねうん
自分で好きな野菜をね	お野菜ですか
まーそれ以後全然勉強してなくてね今一生懸命もう1回ね中学生のベーシックからね	へー
ま逆に大変なことはいっぱいあると思いますけども孫たちも元気で久々に顔が	それは
20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の旅行に行こうということに	あ
行為に対して	うーん
えー今まで経験してなかったことこれあの仕事の面でもそれから人の面でも	はあはあ
あのー線を釘で書いてね	へえ
やはり私の一番得意な歩って歩くってことがいいと思いまして帰りはですね自宅まで歩くつもりでおります	とてもいいことですねはい
今年中には何とか一千か所になる予定でそれが終わりましたら	わーはい
と思っていました	はいわーすごい素晴らしいですねー
きょうはあの作文にで提出しましたがえー	はい頂きました
それはえー平成あっ失礼えー昭和46年の	あそうなんですか
あのあ澤田美喜さんのようにあの横浜のエリザベスサンダースホームの	あっはい
本当にもう	すごい
そいで京都に一番行きたいです日帰りでもいいから行きたいですしてもらいたいことは	あええ
朗らかな顔に塗るんだろうていうことで	あ生きてるように
って思いましたまー財閥の娘でもないのでとてもそういうこともは	いやいえ
女性の	すごーい
ゴムをいつまであのどの辺の高さまで飛べたか高さを競う	あーそうです
十人ぐらいで乗れるようなやつを持ってましたでそれはあのーごく最近までやってたので	あっそうなんですねー
まー仕事であの単身赴任で	あー
えー前年	ああ
えーと縄跳びのように	そうです
中学一年になった時に担任の先生からあー同じ質あのー将来何になりたい全員が聞かれた	へえ
ほとんどおーご存じないかも	うーん
思って楽しい反面国技館の中のことをちょっと知ったっていうことで	はいはー
またもっと日	うーん
の	行ってみたいです
で学生の頃はお琴をやっておりました	はあ
約家から歩いてえー30分弱ですね	あっ30分ぐらいなんですねー
あのー捕虜ごっこなんつって運動場を走り回って	へえ
舞台の上で	舞台でですか
そのことだと思います	あっはい
そーですね今一番したいことはねー一番	したいことは
こういう嬉しさがあるんだなーと	うーん
を勉強したり日本画の勉強を	凄い
始めておりまして今でもやっております	あーすごーい長いですねー
今までの大名の中ではなかった素晴らしい考えをの	ああ
昔	ええはい昔
肝臓の権威っていわれるぐらいの	えー
功労賞で表彰するからと	はー凄いですね
スタジオに通うようになったんですけど	はい社交ダンス
イタリア旅行をしたことが一番楽しかったです	はーそうですかー素敵ですねーふーんイタリア旅行
別に	んっふっふっふっふ
映画活動写真っていうのかしらそんなあれ見てよくあのー白衣の天使って看護婦さんが白いあの姿に憧れて	そうですね
えー学力を身に着け卒業し	あーはい
いうようなことで色んな鞄を作って売ると	へえ
育成団体の	あーへえ
朗らかな顔に塗るんだろうて	へー
なりたのが夢でした看護婦さんと	そうなんですね
なぐらいです	はいありがとうございます
終わってしまいました	えーそーですかー
えー初チャレンジと	あー
ほとんどが	えー先生だったんですね
ピーマン	うんトマトとピーマン
それ以外にも仕事の事えー個人的な	お仕事のこと
あのはたちちょいとの時のあの突き抜けるような喜びというのはま恐らく一番といっていいのではないかと思います	はいわーすごいほんとにいいお話だ
お正月のあの挨拶状ですかそういうのも書いたりなんかもしております	憧れです書道
まーめくるめくようなといってしまえば	すごーい笑
うーん趣味という趣味は申し訳ないんですけどございません	あっはいねー大変ですものはい
えー健康にもいいと	そーですよねー
木の枝を折ったり	んー
えー麻雀仲間とか	ええあ麻雀も
ヨットをまず最初に挙げなきゃいけないかなと	はいそーですね
15分ぐらいまで駅に	15分はい
色んなことを習い事をして	いろいろやられたんですね
えー将来えー学校の先生に	あー学校の先生に
いうことを思ってますので	あーでも
行き来歩いたのは何歩だとか	はぁーはい
もう今は歌舞伎は	はいあー
もう荷物がたくさんありすぎて	そうですね
えー小さかった頃小学生の頃	小学生の頃は
人に対してやってあげることも難しいかもしれないけど	いえいえええ
えー英語などを勉強して	あはいあ
喜怒哀楽ね	あー
あの今度婦人服を作るほうに	はー
に居ました時によく耳にしており若松は耳にしておりましたけれども	ああはい
そうですね今一番したいことはそうなん	うんなんか
その歩けることが一番今嬉しいです	あそうですね
今の子供さんたちは全くこういうようなことは知らないのでこういうこともまー	うん自分でねえ
えーと入院するにあたってはえー他人には一切口外しないっていうことを	はあ
カンボジアに新しくその日本語を専門に	あ
そうやってコミュニケーションをすることがわたくしにとって最大の	へー
高田の馬場でえー出口がちょっとわかんなくなった用な感じなので	そうなんですねはい
私は	あー
でも母の	誕生日
そいでその時に体重が落ちたものですから	ああ
まそーいう意味であのー	いい時代ではないけども
小田急線は代々木上原でございますが代々木上原から小田急線に乗って新宿に	あはい
救急車で運ばれまして急に倒れて	あやー
そうですね今一番したいことはピアノを上手になるまたなる	ピアノですか
えーそこから歩いて大江戸線に	歩いて
あとはお友達とお食事会に行くそれからえーと旅行ですね旅行が好きなのであのー大体	旅行も楽しいはい
プロ棋士を呼んで	へえ
先生を信じてたのでしょうか先生のつけてくださるお薬は何よりも効くような気がしたり注射もあまり痛くなかったのでこういう	上手ですね
一番楽しかった嬉しかったことと	素晴らしいことですね
あークラスに入れたと	すごいですねー
教わったことが一番嬉しかったと	はー
やはり私の一番得意な歩って歩くってことがいいと思いまして帰りはですね	歩いて帰る
ふたり向こうの	ほんとですね
今回それが立ち直ってすごい元気になったっていうことが	良かったです
かといって	おや
最近は	最近はどうでしょう
内緒で持って来たんだから是非とももらってほしいって	はは
に入っていた	あはい
乗り換えがまたあるんですね	あー大変ですよね
違うお父さんもう一人の人も違うお父さんってそんな関係だって	複雑ですね
ぽんぽんと	ええやー
しゃきっとしないまそーいう意味では一番	そーなんですね
今年中には何とか一千か所になる	あっ
体がとっても弱くて	あーそーだったんですかー
興味というか価値を	あっそーなんですねー
こちらの会社さんがございます	あはい
家内と一緒にパーティーに出たところが	そーですかー
あー飛び方じゃなくてゴムにかかってとそれで	ええ
本当になんていうサプライズかしらと思ってわたくしもえっなんで	なかなかできないです
やっておりましたので	あーそうですかー
最近ではもう一番それが最高に嬉しかったと	ねー
えー嬉しいことと思っております	はいそうですね
ですから学校の授業は兵隊さんに手紙を書いたり	あー
その激しさ	へー迫力ありますね
あのー折り紙が一番多かったですねあとお手玉もよくやったお手玉とおはじきもやったようなことを思い出しましたそのくらいでございますけども	おはじきあっはいお手玉はい
まずあの準備したものが	はいなんでしょうか
えー今から六十年ぐらい前で油絵習ってたっていうのは	はいそーです
あのきちっとした	ああ
美容師さんになったらいいなっと思ってでうちの母がちょっと出かける時に美容院に行けないような時はあーあたしがいつもあの母の	はぁー
電話をしなさいしてくれと書いてあったんです私たちは	凄いですね
と歌舞伎が好きですので	あっはー歌舞伎と映画
はいそんな	あはっ
またあのそれ以外にもまーいろんな機会の中であの陶芸やら	わぁ
で1時からあのー受付ということでね	へえ
えー一つの遊びと	はぁー
今このパソコンで最近は	あはい
弓道の	あるんですねー
えーご担当の方からここのようなモニターのえー仕事があるけど行ってみないかというふうな	あーそーだったんですねー
伺うために	えーえーあいだ空きますよねー
えーまーウォーキングは	そうですね
そうによく	ふー
或いは街をに	んー
名称は世の中には出ていませんでしたけれども私はずーっとそれが胸の中に残っていて	へえ
中の	うははっはっはっ
何でしょう	えへへへ
そんなにあのースペシャリストではないので	あーはい広く
カラオケスナックで	わー
退院するまでのあいだの	あはい
ドッジボールをして遊んだと	そーですかー
シルバー人材センターの会長をやり	あーそうなんですか
を勉強したり日本画の	あー
それから大磯とかそういう	大磯
で活かしたいと	はいふーん
いううー気持ちが	ふふっ
イタリア旅行をしたことが	いいですね
私にとっては一番嬉しかったことですねこれは人には	そんなこと
いうのでもうそこにはいない電話ですけれどももう抱きしめたいぐらい可愛い	うーん可愛いですね
門を	ああはい
えー私いーが近かったことで	ああええ
孤独が嫌いなもんですから	孤独がはい嫌いなんですねー
ケアしてくれましたので	えーえーあっそーなんですねー
嬉しかったこといただいているんですけども一番嬉しかったことって	あ
針針を使ったか指で絡めていったのかちょっと覚えておりません	あーああはあはあはいはい
あのーあっこれ焦ってはいけないでも焦ってしまいそうな感じにもなりながら遅れてもいけないと思いながら	あーはいはいうーん
珍しいお菓子と言って手紙がはを	はあ
今一番してもらいたいことはここでちょっと肩が凝ったんで	笑
えー一年経ったら理事をやってくれという	へー
鉢のその成長の糧を見るのが	あー
多かったですあと銀行にもあの西武信用銀行っていうんですかそこのあの銀行にも	はー
えー我が家があー渋谷	あはい
もう自分ではできませんけど	えーえーそうですかー
若く若々しくしていたいことかな	あはー
あのーあちこちに行くということなんですねで	あーそうなんですね
今	ほんとそうです
病気もあんまり持ってないし	あーすごいですねー
えー将棋を覚えましてよくえー将棋の	最近ですか
そしたらもうどんぴしゃりでその連絡板に私の名前と	あ書いてあったんです
えーとさんじゅうよんじゅうえーと三十年三十五年ぐらい	三十
のことがえわたくしのライフワーク	あ
あのーまー先生の描き方を見習ってね	はい見習って
共にし	そーですねー
水泳は	あそうなんですか
人様のそうやってお世話焼きばかりしているものですからそのーなんていうんですかね	あ
行ける自信がちょとないんですけども行けるチャンスがあったらまたもう一度行ってみたいなって思っております	うんもう是非はい
してあげたい	一番したいこと
もう33年もまえからまー友達っていうかあの私のところが塾をしていたものですからそこに	塾されてたんですね
日本の国をですね支えるうー仕事をしておりますのでそういうところにはいってですねえー一生懸命やれれば国の為にもなるんではなかろうかとそう	はあ
えーエレエスカレーターで3回降りないと	そうですちょっと大変ですよね
凄く痛さがどこかに吹っ飛んで	わーすごーいそういう先生
北海道で兄弟に会えたことです	あーそーですかーいーですねー
えー特に	特にですかはい
あのーまわたくしの体に触ってみたり言葉をはなしをしてきたりして	うーん
全くにあの突然にそんな贈ってきてもらってまーなんてまー嬉しいっていうより悪いっていう方が先に立ちましたけどでも本当に嬉しかったですありがたく	やー
えーそういう意味ではそのこの先生がですね空手は教えるけど決して暴力を振るうことはまかりならんよということでこれを守れなければ教えないということでそれを守っておりますので未だにけんかをするってこともありません	あー
許可を得るっちゅうか契約をするために	あはい
でこれが乗り換えがですねものすごく距離があるんですねですから	そうですよね歩きますよね
もー自分が	そうですよね奥様
これも	んー
空手道に通って	凄い
まー人あの人の役に立つことをしたいという風に申しあげましたけどもまー	素晴らしいです
せんだってはオーストラリアにちょっと行ってきたんですがあそこは時差はないんですがそれでも	あーそうなんですね
でえー当然ミヤンマーとかカンボジア	うーん
若松口というのはあの出口のことなのでここは	はあ
それから陸軍なんかで兵隊になると弾が当たってそれが痛いということで痛いのはいやだと	嫌ですね
6月に	はい
日本で	まあ
おばさんは世界でたった1人だよって何がたった1人って	わー
色んな色が	はい入れるんですねー
その中でわたくしが選ばれたということ	えーえーえーすごいですねー
これも初めて知ったんですけども普通の墨汁と違って	違うんですか
言ったり	はいへーあー
おりますので	あーそーなんですねー
はじえーはじめて全国大会にでれたと	はー
憧れだけで	なかなかうん
映画の世界入ったような気分になり	イタリアは
えーとそうですねあのー外ではあのーゴム飛びっていうんでゴムが	ゴム飛び
えー近くの公園等に行ってえースケッチを始めたのがえーこの趣味の始まりでした	あーそーなんですねー
いうことであのーそれをずーっと続けておりまして	わーすごいですねー
あともう一つ	あともう一つは
浪人してる時に	はい
その合弁会社の	うーん
ともかく大学三年の頃ちょうど就職試験ですよね	ああそうですねその時期ですね
あのーヨガをやっていますので	あっヨガすごいですねー
まー色々と趣味はありますカラオケをやりましたんですがカラオケは声が悪いのでこれは	えー
まー人あの人の役に立つことをしたいという風に	あー
少なくて10人ぐらいで	へー
外国にも行って	あーそうなんですか
まーなんとかあー熱心と	そうなんですね
そいで都庁まで	はい都庁まで
うれしいことでございます	ほんとにすすごいいいことですよねー
もうそ古いものを	あーはい
お正月のあの挨拶状ですかそういうのも書いたりなんかも	ええはーそうなんですねー
フルーツの	空き缶うん
えーとバスで新宿の	あバスで
数の多さで	はー
一番したいことというのは	へえ
えー乗ることができません	あ不便ですね
目標一千か所	はいはいそーでしたねー千でしたねー
いうようなことで工夫をして	うーん
よかったですか	はい素晴らしいです
ですからお花を	素晴らしいうん
教わることがいっぱいで	へーええ
えー歴史文化時事そういうことがわたくしの仕事の内容でした	はーそうですかー
新宿うー西口駅から	新宿はい
えー会社での決めだったんですけど	すごーいそーうなんですねー
この小田急の参宮橋の	あっ
男の子達ともよく遊びましたけどもやっぱり男の子と女女の子とこう別れてあそ遊んでたような気が	あっそーなんですねー
自分が	なんです
えーとテープを	ふーん
ぽんぽんとこうできないんですけどなんかあの兄弟達がやってましたのでそれを真似してお手玉なんかそれで	へえ
皆通ったりしてた小児科の	あっ
だんだんだんだんそれでは満足できないと	ああ
を	へー
特殊なあー	うーん
ここへ	まあ
最終的には	はあ
そしてそれも色を大ざっぱにまず塗っといて	塗って
えーしぶしぶっといいますかえー受験行ってもちろんんーその日の	そうなんですね
最後は	うーん
あの入れたのでね	わぁそーなんですねー
愛情あふれるそのような親切な先生に出会えたからなのかもしれませんけど	そうそうでしょうねー
いうことでその小さい	そうですよね
やっぱり勉強したいですね色々と	そうなんですね勉強
早くあたしの手から孫ちゃんが	あは
嬉しさに	ほんと
そういう支援事業をおー	はー
あたしは娘に感謝しています	はいそう思います
まーそれ以後全然勉強してなくてね今一生懸命もう1回ね中学生の	ふーん
運動場で	そーですかー
バカ話しながら	はははそーなんですね
でそこから一緒にあのー娘とは生活してないんですけどもそこからすぐ2，3分のところに娘の家がありまして	そうなんですかー
あのー絵手紙の初級コースと	あー
澤田美喜さんのように	ですか
遠かったのでえー	今回は
男の子を持った	うーん
アメリカの領事館へ行って領事と何のために行くんだどういうあれなんだって	そーなんですねー
三十分ぐらいございましたので	はい30分はい
で車に乗せて私とあの家内をですね乗せてくれてあっちこっち	素晴らしいですねー
小さい時から絵とかそういうのがすごい好きだったので	あはいはい
ものですかねなんかそういうのをあげなければ自分では表現できないって	うーん
えーとそうですねあのー外ではあのーゴム飛びっていうんでゴムが一本引いてもらってそれを	あーうんうん
お寺が遊び場であありましたのでそこで思う存分暗くなるまで誘拐される	あはっ
彼もおー海外でのおー生活が非常に楽しそうで	うーんあーそーなんですねー
そいで京都に一番行きたいです日帰りでもいいから行きたいですしてもらいたいことは今母を介護しておりますので	はーはいはい
アメリカ人が	えアメリカ人が
それがすばすべて結果としてそのたびそのたびでしたけどすべてうまくいったっていうのが私としては	あいいいい
四十年間	お若い時から四十年間も
小学校2年からはあの隣が公会堂ってゆって田舎でしたので卓球台が入りまして	あーそーなんですねー
パントあの打ってそこの間にもう	あうん
あの今度婦人服を作るほうにお勉強をしまして婦人服の	まだ
売り渡したという	あーそーだったんですねーふーん
つらいこともうー70年間人生やってると	あー
あ私達じゃない私は雪国育ちなので	そうですはい
相手の	ふーん
えー買いましてね	ああ
空いている時間を	あはい
まーそういうことでえー	すごいですねー
えーそれを感じましたまた	凄い
そこでえーおぼえあのそこで始まったわけですがそのあと色々とまーその趣味をつづ続けておりましてまーこれがあの生涯のあのーライフワークになるようなえーことが	すごいいいですねーライフワーク
止まってるボールを打つのがこんなに難しいもんかという	そうなんですね
表彰を受けたと	そーなんですねー
乗り換えてからまた乗り換えなきゃいけない	あー
それからーもう一つは	もう一つは
で	そうですか
次は右から左	へぇー
ちょこちょこと合間に	ああああ
次は	はー
大手門を見ながら	大出門はい
園芸植物を栽培する	あー
胆のうが悪い時には血圧があの上がらなかったんです凄くは	あっあーそうなんですかー
近くも	おーおー
えー二位を	どうだったんですか
小学校2年からはあの隣が公会堂ってゆって	公会堂ですか
えー将棋を覚えましてよく	将棋をされるんですか
5センチ10センチぐらいづつに刻んで	そうですね
できたということが	あー
えーと縄跳びのように2人で	うーん
私の最大の目標でした	あー
でえー心を	あはっコーヒー屋さんで
えーま自信がないって	うーん
あのーわたくしはですね歩くのが得意なんですね毎日一万歩以上歩いておりますそういうことで	凄いですねー
上まで乗ってって	ええ
三年間一所懸命	三年間も
楽しくさせてあげたい	あーあー
えーと真っすぐ左に行ったらえーとクリエイトって	左に行って
1回も行っておりませんので	あーそーなんですねー
でその時思ったのはあーいただいた地図の中に案内図の中に進行方向あっ	あーはいはい
として今でも記憶に	ねなかなか
先生を信じてたのでしょうか先生のつけてくださるお薬は何よりも効くような	あっはっはっはっ
山へ行って戦争ごっこの	はいあっはい
そのー	うーん
色々の自然な遊び場場がありました	広いですもんねお寺
ことなのにって思ってま無償の愛はいつもね子供達に	もちろんですよね
嬉しかったことです	ねーそーですよねーおめでとうございます
んなそういう弱い子を	うーん
がっかり残念に思っている	うーん
毎日でもいいから肩をもんでくれる人がいるといいなと	そうですね
いうことも勿論必要でございますけれども	はあ力と行動力
全く遊びの道具は今のようなあのーものがあのない時代でした	そーですよねー
えー近くまで送って行った	そうですね
あとはお友達とお食事会に行くそれからえーと旅行ですね旅行が好きなので	いいですいいですはい
そのリリアンというできた紐を	あはっ
スキーも	凄いな
わたくしは京王線の幡ヶ谷という所に住んでおります	ええあっはい
その前に入院したらちゃんとその看病したりなんかして	あははははは
互いに相互理解をしながら	そうですねー
で軽井沢の下車駅がなんと言う駅かっていうのを聞いてなかったものですから	あはあはあはあはあ
あのきちっとした身だしなみを整えていたいって	うーん
えー大体	そうなんですね
1泊泊まって	へえ
あのーわたくしはですね歩くのが得意なんですね毎日一万歩以上歩いておりますそういうことで今日もですね実は電車じゃなくてですね	えー
父が色んな多角経営でお店をやったりしておりましたのでそちらのお店の方に食べ物屋さんをやっておりましたので	あそうですか
あーいうの見てるのは好きなんで	あーはいはい
麹町番長の大きなお屋敷のおー石造りのバルコニーみたいな部分だけ残っているとか	あー
男の子と遊ぶのが多かったのですねえー	はあ
えー今から六十年ぐらい前で油絵習ってたっていうのはみんな	凄い
飛行機の絵ばっかり描いていました	あーそうなんですねー
してもらいたいこと	むつかしいですねーなんでしょうかねー
などと思っております	あっはいそーですねー
むさぼり	うんうふふ
大学卒業して社会人に	卒業して社会人になって
改札口へ出まして	改札口まで出て
記憶に残っているのはそれが一番	うーん
こういう仕事があるんだと	あー
葬儀のあいだじゅうそれから食事中終わってからもわたくしのあとばっかりついて初めて会ったのにもかかわらず	ついてまわってたんですか
えーきょうは	いいですね
何が1番嬉しかったのかな	あー
地下鉄千代田線	千代田線
何年かに1回ということで	あっ
先生になりたいなー生徒さんをいっぱい集めて一人一人色んな個性をが活かして先生になりたいなーって二つは持っておりましたましたけれどもそんなのは小さい頃の夢で	あははそうですかはっはっはっ
叔父の	馬そり
事だと思っています	そういうことですよねー
今までやってきたことがまちがってなかったなっていう感じで本当に	良かったですねー
先月	なんかうん
孫の声を聞くと二人とも元気になります	はいそうですねーほんとにそう思います
部長から	はい部長さんから
寄って	あ寄られて
相手が	理解し合って
達とおー一緒に遊んだ記憶があー鮮明に	野球なんですね
ずー前日まで毎日お見舞いに来てくれました	あーそうですかー
えー人の	えー
行けることに	うわー
で車に乗せて私とあの家内をですね乗せてくれて	はいえー
趣味もありましたしそういう意味ではあのー勉強になることが多かったんですがこのゴルフっていうのはですね御承知かと思いますけれども非常にあのー自分のですね体力だけじゃなくてえー自力あーあの頭を	えーそうなんですね
本日は朝ちょっと午前中にえーちょっとあの定期的に検査をしている病院に	あっはい
男の子達ともよく遊びましたけどもやっぱり男の子と女女の子とこう別れてあそ遊んでたような気がします	うーん
フルーツの缶詰の	あはい
計画してわたくしの	計画して
だと思います	あそうですか
みんな隠れて鬼がよそをみ見てる間に	やー
それからビー玉は	はいビー玉は
わたくしはえーと小田急線の代々木八幡の駅のすぐ目の前に住んでおりまして	あはいはい
一応三つまとめてみました以上です	ほーんとに素晴らしいわー
岸へ持ち上げて出すとその中にウナギがいるとかナマズがいるとかと	えー
だい公園の試合を観に行き	はいあー
娘がほんとにいとおしく思います	あーいーお嬢さんですねー良かったですねー
到着出来て	あーほんとに
もう趣味はすごい多趣味ですあと書道も好きで総理大臣賞も	えー書道
私の場合はお腹の筋力が落ちたものですから歩いててもふっと力がぬけるときがあるので五千歩以上	ええ
まーなんていうのかな	お孫さん
できるだけ新しいね	ふふはい
最近ではもう一番それが最高に嬉しかったと思います	すごいとてもいいことです
河田町で降りまして	はいあはいうんうん
時々来るしそれから必ず電話でですね元気元気というふうにあのー話をしてくれていますのでそういう意味では大変恵まれているということであの感謝しております	そうですか素敵ですね
えー砂山をつな作りながら	あ山を作ったりーええ
多趣味っていうか色んなことであの時間があれば何でもできると思っていつでも今年は何を	そうか
まだまだ	そうですね
そのようなことであります	あはい
男の子達ともよく遊びましたけどもやっぱり男の子と女女の子とこう別れてあそ遊んでたような	ああ
あのきちっとした身だしなみを整えていたいっていうの女性ですから	突然
えー海外からものを入れて売るというふうにして自分で	ええ
でこれがですね今でもその自分の体力が落ちないということにですね関連しているんではないかということと	そうですよね
すべてがうまくいきましてそれで	あー
あのーあふれるぐらいに	はいあふれるぐらいにお描きなったんですね
それがですね私にとってはですね一番	羨ましいです
学校の先生というのは尊い仕事なんだ職業なんだ	はー
1回も行っておりませんのでもうここ	うーん
大ベテランと	うーん
て下の坂まで降りるんですけど	へー楽しそう
初めての飛行機しゅ	あー
いうのでもうそこにはいない電話ですけれども	えー可愛いですね
ちゃんとしてもらいたいな	そー思いますよね心細い
自重自重なんて自分で言い聞かせながら歩いていた	うーん
本当にね学校に	大変です
そーいう意味ではあのー孫たちに	ふーんはい
プラスチックのスーツケースを	あっあーそうなんですか
スチュワーデスっていうのは憧れだったんですけどそれだけの器量も	あああは
うわーっと声が出るほど	はー
えー糸をまきつけましてね	あっはいはいあーそーですね
外に	そうですか
加工して2年とか2年半とか1年半とかもつお花になってますよね	えーあはいプリザーブド
英会話の	わー偉い
えーそういう	そんな
それなりの生活を送っているって	いーですねー楽しく
孫二人と	凄く
大きい趣味っちゅうのはゴルフです	ゴルフなんですねー
花束を渡したからよしこ叔母様にはお菓子を	はぁー
かいまーしてもいるいるおりますけども海外旅行に	ああ
本当はあのスポーツは凄く	あっは
午後からあー	木曜日の午後から
というところに	ほうか
それでまー私もそのたびに私の考えてる範囲でこうしたらいいんじゃないのあーしたらいいんじゃないのって話	ねーはい
んーなんていいますか広く	趣味
に乗るということ	あーそうなんですねー
とにかく活発な遊びをしておりました	そーだったんですねー
あまり深くは考えたことはないですね	えええーでも大切なことですよねうん
えー大学生が学帽かぶった大学生がちょっと坊やそのミットとグローブ貸してってあーバット貸してって言ってなんと三時間ばかりその代わり早明戦早慶戦か	はっはっはっはっはっはっはっはっは
その中でま自分がキャプテンに	んーんー
趣味もありましたしそういう意味ではあのー勉強になることが多かったんですがこのゴルフっていうのはですね御承知かと思いますけれども非常にあのー自分のですね体力だけじゃなくてえー自力あーあの頭を使う	ああ
友達には嫌われたくありませんから	うーんええーえー
お料理屋さんになりたかったんですけどそれは	えー
ライフワークといえるようなそのような仕事に出会うことでは	そうですよね
もー膝は	へへっへ
ましてね	はい家をねーい
それで母親が	はいお母さまが
味噌汁とお新香のような	あーほんとですか
これはあのー	はい
てっぺんですね	てっぺんはい
で駅からおおえど大江戸線に	大江戸線に
なんなんなんていうべきですかね	うーん
とってもとっても宝物に	ほんとそうです
あとはあー左上から	左上から右下に
あのー	ああよかったです
これは仕事が終わってから60代後半頃から	へえ
だけれども伊藤さんだったら絶対にそうやって連絡板を手段として見るかもしれないねって	凄いうーん
